iter	Passed	Remaining
0	72	72721
1	127	63594
2	174	57885
3	211	52773
4	238	47459
5	328	54404
6	370	52547
7	393	48772
8	417	45945
9	441	43754
10	464	41766
11	494	40713
12	520	39501
13	546	38482
14	569	37421
15	594	36574
16	619	35809
17	652	35588
18	679	35074
19	704	34525
20	725	33822
21	749	33299
22	784	33315
23	812	33024
24	840	32764
25	869	32558
26	888	32033
27	909	31568
28	933	31269
29	958	30998
30	986	30836
31	1008	30492
32	1030	30199
33	1055	29989
34	1076	29678
35	1103	29544
36	1124	29262
37	1154	29219
38	1182	29148
39	1204	28917
40	1228	28729
41	1251	28543
42	1274	28367
43	1297	28183
44	1320	28020
45	1341	27811
46	1364	27660
47	1383	27436
48	1407	27325
49	1430	27178
50	1449	26966
51	1470	26817
52	1494	26709
53	1517	26584
54	1538	26428
55	1570	26466
56	1597	26436
57	1623	26362
58	1645	26245
59	1666	26108
60	1687	25981
61	1715	25961
62	1744	25949
63	1767	25844
64	1795	25829
65	1823	25805
66	1845	25704
67	1865	25568
68	1896	25592
69	1925	25587
70	1945	25459
71	1967	25362
72	1992	25299
73	2013	25191
74	2037	25133
75	2070	25170
76	2096	25136
77	2119	25049
78	2142	24980
79	2163	24875
80	2185	24792
81	2208	24719
82	2232	24664
83	2256	24603
84	2278	24525
85	2302	24468
86	2324	24397
87	2349	24347
88	2372	24285
89	2393	24202
90	2416	24136
91	2439	24077
92	2462	24011
93	2488	23987
94	2509	23910
95	2531	23835
96	2555	23789
97	2577	23724
98	2609	23752
99	2642	23782
100	2673	23796
101	2696	23742
102	2719	23682
103	2739	23605
104	2761	23541
105	2791	23541
106	2817	23516
107	2840	23458
108	2862	23400
109	2896	23433
110	2929	23462
111	2962	23488
112	3000	23553
113	3040	23627
114	3074	23660
115	3110	23704
116	3147	23753
117	3182	23789
118	3220	23841
119	3254	23863
120	3287	23883
121	3325	23934
122	3364	23991
123	3411	24102
124	3447	24134
125	3483	24166
126	3523	24220
127	3558	24240
128	3609	24368
129	3655	24461
130	3696	24522
131	3741	24603
132	3783	24663
133	3822	24705
134	3866	24772
135	3906	24819
136	3956	24921
137	4004	25011
138	4074	25239
139	4142	25448
140	4204	25614
141	4260	25743
142	4314	25858
143	4361	25925
144	4394	25913
145	4440	25973
146	4476	25978
147	4508	25954
148	4544	25953
149	4590	26013
150	4615	25951
151	4645	25917
152	4686	25943
153	4716	25912
154	4747	25884
155	4792	25928
156	4841	25994
157	4888	26049
158	4925	26054
159	4964	26065
160	5003	26074
161	5041	26076
162	5077	26072
163	5119	26098
164	5198	26308
165	5231	26282
166	5274	26311
167	5316	26327
168	5354	26331
169	5398	26357
170	5438	26364
171	5471	26340
172	5504	26312
173	5542	26311
174	5578	26296
175	5611	26269
176	5641	26233
177	5677	26217
178	5706	26172
179	5748	26188
180	5784	26172
181	5817	26148
182	5857	26152
183	5888	26114
184	5929	26122
185	5968	26118
186	5996	26070
187	6029	26043
188	6061	26010
189	6087	25952
190	6121	25927
191	6146	25866
192	6179	25837
193	6212	25809
194	6243	25774
195	6276	25745
196	6304	25697
197	6331	25647
198	6364	25618
199	6393	25574
200	6417	25512
201	6439	25441
202	6478	25435
203	6520	25441
204	6559	25438
205	6587	25388
206	6608	25316
207	6633	25258
208	6655	25189
209	6676	25115
210	6704	25068
211	6726	25001
212	6753	24951
213	6780	24904
214	6806	24849
215	6828	24785
216	6851	24720
217	6871	24649
218	6894	24586
219	6920	24537
220	6940	24463
221	6966	24413
222	6989	24352
223	7014	24301
224	7047	24275
225	7077	24237
226	7104	24194
227	7130	24142
228	7149	24071
229	7170	24006
230	7191	23941
231	7218	23895
232	7241	23837
233	7264	23779
234	7286	23719
235	7313	23675
236	7334	23611
237	7356	23552
238	7379	23498
239	7405	23449
240	7438	23425
241	7470	23398
242	7504	23377
243	7544	23374
244	7579	23357
245	7613	23336
246	7652	23328
247	7687	23310
248	7721	23289
249	7762	23288
250	7804	23290
251	7840	23273
252	7876	23255
253	7910	23234
254	7945	23212
255	7982	23199
256	8015	23174
257	8053	23161
258	8090	23147
259	8125	23127
260	8160	23106
261	8203	23108
262	8238	23085
263	8273	23066
264	8310	23050
265	8345	23027
266	8381	23010
267	8420	22999
268	8454	22975
269	8490	22956
270	8525	22932
271	8560	22910
272	8596	22891
273	8635	22881
274	8670	22858
275	8704	22834
276	8738	22807
277	8777	22795
278	8811	22771
279	8847	22751
280	8876	22711
281	8899	22660
282	8923	22607
283	8946	22556
284	8968	22499
285	8989	22441
286	9011	22386
287	9038	22344
288	9062	22295
289	9082	22237
290	9106	22187
291	9130	22138
292	9151	22082
293	9175	22034
294	9197	21980
295	9226	21943
296	9257	21913
297	9284	21871
298	9308	21823
299	9329	21769
300	9356	21729
301	9378	21675
302	9402	21628
303	9426	21582
304	9452	21539
305	9475	21490
306	9496	21437
307	9516	21380
308	9541	21337
309	9566	21292
310	9589	21244
311	9607	21186
312	9628	21133
313	9650	21083
314	9673	21036
315	9693	20983
316	9713	20927
317	9733	20874
318	9758	20831
319	9781	20786
320	9803	20737
321	9823	20685
322	9845	20636
323	9870	20594
324	9897	20555
325	9923	20516
326	9952	20484
327	9976	20439
328	10004	20405
329	10028	20360
330	10055	20323
331	10081	20283
332	10108	20247
333	10133	20206
334	10156	20161
335	10187	20131
336	10217	20102
337	10246	20068
338	10277	20040
339	10308	20011
340	10336	19976
341	10364	19940
342	10388	19897
343	10413	19858
344	10439	19819
345	10466	19783
346	10491	19743
347	10520	19711
348	10550	19679
349	10576	19642
350	10601	19601
351	10635	19578
352	10671	19559
353	10703	19533
354	10746	19524
355	10783	19506
356	10816	19482
357	10852	19461
358	10881	19428
359	10905	19387
360	10931	19350
361	10960	19317
362	10991	19287
363	11016	19247
364	11047	19220
365	11079	19192
366	11113	19168
367	11154	19156
368	11184	19126
369	11216	19098
370	11257	19086
371	11289	19057
372	11317	19023
373	11346	18992
374	11373	18956
375	11399	18919
376	11437	18900
377	11472	18878
378	11511	18861
379	11543	18833
380	11572	18800
381	11600	18767
382	11631	18737
383	11661	18707
384	11688	18670
385	11714	18634
386	11742	18600
387	11770	18566
388	11797	18530
389	11824	18494
390	11853	18462
391	11883	18431
392	11916	18405
393	11943	18369
394	11969	18333
395	11998	18300
396	12021	18259
397	12051	18228
398	12073	18186
399	12102	18153
400	12130	18119
401	12156	18082
402	12185	18050
403	12215	18020
404	12242	17986
405	12270	17952
406	12303	17926
407	12331	17892
408	12358	17857
409	12383	17820
410	12407	17780
411	12433	17744
412	12459	17709
413	12485	17673
414	12512	17637
415	12543	17608
416	12574	17580
417	12612	17560
418	12658	17552
419	12693	17529
420	12740	17522
421	12779	17504
422	12815	17480
423	12850	17457
424	12882	17429
425	12912	17397
