iter	Passed	Remaining
0	314	314675
1	334	166789
2	355	118154
3	377	93999
4	402	80151
5	423	70114
6	443	62899
7	466	57824
8	498	54847
9	527	52217
10	555	49958
11	580	47787
12	605	45974
13	628	44286
14	652	42834
15	671	41325
16	694	40150
17	714	38970
18	733	37873
19	753	36903
20	774	36110
21	794	35338
22	817	34725
23	839	34124
24	859	33530
25	881	33035
26	906	32654
27	931	32343
28	952	31878
29	970	31371
30	988	30907
31	1009	30534
32	1028	30140
33	1052	29894
34	1071	29533
35	1090	29213
36	1110	28893
37	1129	28605
38	1149	28320
39	1170	28092
40	1189	27820
41	1207	27553
42	1227	27309
43	1248	27118
44	1277	27120
45	1302	27012
46	1325	26878
47	1344	26668
48	1364	26476
49	1386	26352
50	1407	26188
51	1427	26016
52	1449	25904
53	1469	25738
54	1490	25606
55	1509	25443
56	1528	25288
57	1546	25119
58	1565	24974
59	1584	24829
60	1604	24698
61	1623	24565
62	1642	24425
63	1661	24294
64	1681	24188
65	1704	24117
66	1722	23990
67	1740	23853
68	1759	23735
69	1778	23625
70	1796	23508
71	1816	23407
72	1836	23318
73	1853	23197
74	1872	23096
75	1891	22997
76	1912	22926
77	1932	22843
78	1951	22752
79	1973	22694
80	1992	22601
81	2010	22509
82	2031	22447
83	2050	22360
84	2069	22279
85	2090	22215
86	2110	22144
87	2128	22062
88	2157	22087
89	2177	22014
90	2197	21953
91	2215	21869
92	2236	21807
93	2256	21748
94	2276	21686
95	2294	21610
96	2312	21529
97	2334	21491
98	2353	21422
99	2374	21374
100	2393	21302
101	2412	21236
102	2435	21211
103	2466	21245
104	2493	21254
105	2516	21221
106	2537	21173
107	2567	21209
108	2592	21193
109	2612	21135
110	2634	21101
111	2655	21053
112	2673	20987
113	2692	20927
114	2711	20863
115	2730	20809
116	2750	20755
117	2771	20712
118	2790	20656
119	2810	20613
120	2836	20602
121	2860	20589
122	2882	20549
123	2901	20498
124	2920	20446
125	2939	20390
126	2959	20346
127	2978	20293
128	2998	20248
129	3019	20205
130	3038	20158
131	3058	20111
132	3076	20054
133	3097	20018
134	3117	19974
135	3137	19933
136	3155	19879
137	3175	19836
138	3198	19814
139	3220	19784
140	3241	19746
141	3261	19707
142	3282	19672
143	3303	19636
144	3323	19598
145	3346	19572
146	3367	19540
147	3396	19553
148	3417	19518
149	3436	19474
150	3454	19422
151	3474	19384
152	3495	19349
153	3514	19307
154	3533	19263
155	3552	19220
156	3570	19174
157	3588	19124
158	3612	19106
159	3631	19066
160	3650	19024
161	3669	18983
162	3689	18943
163	3707	18899
164	3728	18870
165	3756	18874
166	3781	18863
167	3801	18826
168	3820	18785
169	3841	18754
170	3858	18706
171	3877	18668
172	3901	18650
173	3919	18608
174	3942	18586
175	3963	18557
176	3989	18552
177	4010	18518
178	4028	18477
179	4049	18445
180	4067	18405
181	4085	18362
182	4104	18323
183	4122	18283
184	4143	18255
185	4164	18225
186	4183	18189
187	4202	18150
188	4222	18120
189	4245	18100
190	4271	18091
191	4294	18074
192	4313	18037
193	4332	17998
194	4353	17970
195	4374	17946
196	4393	17908
197	4422	17913
198	4450	17913
199	4474	17897
200	4496	17872
201	4520	17859
202	4543	17839
203	4562	17803
204	4586	17785
205	4605	17749
206	4623	17714
207	4642	17675
208	4661	17642
209	4681	17610
210	4701	17578
211	4728	17576
212	4749	17548
213	4770	17520
214	4790	17490
215	4810	17461
216	4832	17438
217	4855	17416
218	4883	17416
219	4902	17381
220	4920	17345
221	4939	17309
222	4960	17285
223	4980	17254
224	5000	17223
225	5020	17193
226	5038	17158
227	5056	17122
228	5076	17092
229	5096	17061
230	5114	17025
231	5142	17022
232	5163	16997
233	5184	16972
234	5208	16953
235	5233	16941
236	5251	16906
237	5271	16877
238	5292	16852
239	5313	16826
240	5332	16795
241	5354	16772
242	5374	16744
243	5394	16714
244	5414	16685
245	5441	16678
246	5464	16658
247	5484	16630
248	5504	16601
249	5525	16576
250	5546	16550
251	5566	16523
252	5585	16491
253	5606	16465
254	5631	16454
255	5651	16425
256	5669	16391
257	5687	16357
258	5708	16333
259	5729	16306
260	5747	16274
261	5767	16246
262	5786	16214
263	5806	16186
264	5825	16156
265	5842	16123
266	5863	16098
267	5885	16076
268	5904	16045
269	5923	16014
270	5944	15991
271	5963	15961
272	5984	15935
273	6005	15912
274	6023	15880
275	6041	15849
276	6069	15841
277	6091	15821
278	6111	15793
279	6131	15766
280	6150	15737
281	6169	15707
282	6189	15681
283	6207	15649
284	6225	15618
285	6254	15613
286	6277	15594
287	6299	15573
288	6318	15543
289	6336	15513
290	6356	15487
291	6377	15462
292	6400	15444
293	6429	15439
294	6455	15427
295	6490	15436
296	6521	15435
297	6559	15452
298	6599	15471
299	6633	15478
300	6667	15484
301	6699	15485
302	6735	15494
303	6772	15506
304	6803	15503
305	6838	15509
306	6877	15524
307	6909	15523
308	6939	15518
309	6972	15518
310	7007	15524
311	7037	15519
312	7070	15518
313	7103	15519
314	7135	15517
315	7165	15509
316	7196	15505
317	7229	15505
318	7263	15507
319	7297	15508
320	7332	15510
321	7371	15521
322	7402	15514
323	7433	15509
324	7464	15502
325	7493	15492
326	7525	15488
327	7558	15484
328	7587	15475
329	7617	15465
330	7646	15454
331	7678	15450
332	7714	15452
333	7746	15446
334	7777	15439
335	7813	15441
336	7847	15439
337	7882	15437
338	7917	15438
339	7951	15434
340	7985	15432
341	8014	15418
342	8031	15384
343	8053	15357
344	8075	15332
345	8097	15305
346	8118	15278
347	8138	15247
348	8156	15214
349	8175	15182
350	8194	15151
351	8212	15118
352	8233	15090
353	8253	15061
354	8272	15030
355	8295	15007
356	8314	14976
357	8333	14944
358	8353	14914
359	8371	14882
360	8402	14873
361	8426	14851
362	8451	14830
363	8471	14802
364	8490	14771
365	8509	14741
366	8529	14711
367	8548	14681
368	8579	14671
369	8600	14644
370	8620	14614
371	8639	14584
372	8657	14553
373	8678	14525
374	8697	14496
375	8716	14466
376	8735	14435
377	8754	14405
378	8776	14380
379	8800	14358
380	8820	14329
381	8838	14299
382	8857	14268
383	8876	14239
384	8895	14210
385	8916	14182
386	8944	14167
387	8966	14142
388	8985	14112
389	9006	14086
390	9025	14056
391	9045	14029
392	9064	14001
393	9086	13975
394	9110	13954
395	9129	13924
396	9148	13896
397	9168	13867
398	9187	13838
399	9204	13807
400	9224	13779
401	9244	13751
402	9262	13721
403	9281	13692
404	9302	13666
405	9325	13643
406	9348	13620
407	9369	13594
408	9390	13569
409	9411	13543
410	9433	13518
